feature,importance
"City_Anantnag, India",9.349250981647822e-05
"City_Uran Islampur, India",9.32395327452768e-05
"City_Malerkotla, India",9.23491627386194e-05
"City_Begusarai, India",9.157058027232903e-05
"City_Periyakulam, India",9.144036873461724e-05
"City_Shenkottai, India",9.081743412927834e-05
"City_Raisen, India",9.076476579952952e-05
"City_Dibrugarh, India",9.041102662270107e-05
"City_Gobichettipalayam, India",9.030938809449161e-05
"City_Naihati, India",8.981318030055991e-05
"City_Punalur, India",8.955710676748939e-05
"City_Puttur, India",8.932256925970851e-05
"City_Bathinda, India",8.884060816797686e-05
"City_Gobindgarh, India",8.861343849771023e-05
"City_Madikeri, India",8.84895720391125e-05
"City_Veraval, India",8.831099882780195e-05
"City_Kharagpur, India",8.795409026939281e-05
"City_Zira, India",8.775153812468754e-05
"City_Valparai, India",8.732266408398866e-05
"City_Udaipur, India",8.723495845410331e-05
"City_Pandhurna, India",8.707737068888869e-05
"City_Vellakoil, India",8.634182719761639e-05
"City_Bharuch, India",8.615582183324651e-05
"City_Nangal, India",8.548477920911475e-05
"City_Buxar, India",8.540276670269978e-05
"City_Mandideep, India",8.531767319644726e-05
"City_Dhule, India",8.496180715005034e-05
"City_Bhiwani, India",8.493003099482043e-05
"City_Sopore, India",8.490261571777374e-05
"City_Nalbari, India",8.486443732447826e-05
"City_Vijayapura, India",8.453201176682365e-05
"City_Loni, India",8.450896387380965e-05
"City_Vijainagar Ajmer, India",8.413122931497858e-05
"City_Bhadrak, India",8.400069888458872e-05
"City_Shahpura, India",8.396755686872369e-05
"City_Nokha, India",8.35796901816302e-05
"City_Bodhan, India",8.303767620271506e-05
"City_Hazaribag, India",8.293609646655e-05
"City_Hajipur, India",8.26662147302115e-05
"City_Kendujhar, India",8.222886132812074e-05
"City_Moga, India",8.209902579900794e-05
"City_Sikandrabad, India",8.174954250051278e-05
"City_Rohtak, India",8.17055708133331e-05
"City_Nagaur, India",8.0664293144538e-05
"City_Kharar, India",8.056696127281035e-05
"City_Morvi, India",8.051183838530693e-05
"City_Vizianagaram, India",8.026705282546416e-05
"City_Tura, India",8.015646533811132e-05
"City_Jagdalpur, India",7.992562797311561e-05
"City_Paravoor, India",7.974396254218436e-05
"City_Jharsuguda, India",7.922026525792952e-05
"City_Lalsot, India",7.910999473072602e-05
"City_Panvel, India",7.866753164959572e-05
"City_Nabadwip, India",7.819747985225535e-05
"City_Kadapa, India",7.700577378808635e-05
"City_Nadbai, India",7.698092134454159e-05
"City_Rae Bareli, India",7.6890472957584e-05
"City_Kodungallur, India",7.685253293409238e-05
"City_Chikkamagaluru, India",7.639554500742427e-05
"City_Tiruvuru, India",7.578741590517437e-05
"City_Pusad, India",7.577722079710569e-05
"City_Mattannur, India",7.504409664945548e-05
"City_Sedam, India",7.504249179560403e-05
"City_Sainthia, India",7.500971293262916e-05
"City_Narsinghgarh, India",7.489607931099483e-05
"City_Thiruvallur, India",7.446705320648168e-05
"City_Srinagar, India",7.435267058121322e-05
"City_Salaya, India",7.434026922890887e-05
"City_Bharatpur, India",7.398695987153389e-05
"City_Mhow Cantonment, India",7.377417510798047e-05
"City_Sihora, India",7.341004665521221e-05
"City_Neem-Ka-Thana, India",7.30889175829983e-05
"City_Kolar, India",7.308599585696235e-05
"City_Revelganj, India",7.298531264848758e-05
"City_Mohali, India",7.295762449011077e-05
"City_Jalpaiguri, India",7.229029794008223e-05
"City_Khammam, India",7.224732052640385e-05
"City_Paithan, India",7.223988505550927e-05
"City_Vikarabad, India",7.218624040682443e-05
"City_Jorhat, India",7.207601268815865e-05
"City_Koratla, India",7.167726396372754e-05
"City_Barbil, India",7.1670873328051e-05
"City_Ramnagar, India",7.161134322309185e-05
"City_Rampurhat, India",7.127919837603965e-05
"City_Nidadavole, India",7.123151683512022e-05
"City_Kohima, India",7.119395174249899e-05
"City_Mandi Dabwali, India",7.107447835985229e-05
"City_Chatra, India",7.106160552895051e-05
"City_Sirhind Fatehgarh Sahib, India",7.098665961857551e-05
"City_Titlagarh, India",7.023094994564974e-05
"City_Athni, India",6.999664338080198e-05
"City_Raver, India",6.996664142079712e-05
"City_Vadipatti, India",6.98778365667531e-05
"City_Rajampet, India",6.985833653958433e-05
"City_Jangaon, India",6.979363758017179e-05
"City_Vatakara, India",6.972590314573366e-05
"City_Sendhwa, India",6.955563318046334e-05
"City_Agra, India",6.950541200001895e-05
"City_Nagercoil, India",6.94545750943405e-05
"City_Macherla, India",6.917476857179464e-05
"City_Malegaon, India",6.909374343275202e-05
"City_Sindhnur, India",6.886277836893298e-05
"City_Attingal, India",6.854615342321248e-05
"City_Renukoot, India",6.784565824312834e-05
"City_Mudhol, India",6.78413957222214e-05
"City_Palacole, India",6.783234952505608e-05
"City_Sinnar, India",6.764903808046657e-05
"City_Nawanshahr, India",6.752557510414164e-05
"City_Pandua, India",6.749020087234909e-05
"City_Erode, India",6.738074446313987e-05
"City_Udhagamandalam, India",6.736954481847501e-05
"City_Nellore, India",6.720557959032821e-05
"City_Eluru, India",6.693007263913513e-05
"City_Madanapalle, India",6.683785355324892e-05
"City_Maner, India",6.669605611030043e-05
"City_Tanuku, India",6.652492965196613e-05
